Country or Territory,Country Code,Indicator Name,Indicator Code,Year,Population,Last5Years,Region,IncomeGroup,Pop15_64_pct,NetMigration,BirthRate,DeathRate
Aruba,ABW,"Population, total",SP.POP.TOTL,1986,59931,FALSE,Latin America & Caribbean,High income,66.8351107723018,-954,16.92,6.291
Aruba,ABW,"Population, total",SP.POP.TOTL,1987,59159,FALSE,Latin America & Caribbean,High income,67.3203696694423,-1052,16.769,6.255
Aruba,ABW,"Population, total",SP.POP.TOTL,1988,59331,FALSE,Latin America & Caribbean,High income,67.6877071681157,-905,15.996,5.646
Aruba,ABW,"Population, total",SP.POP.TOTL,1989,60443,FALSE,Latin America & Caribbean,High income,67.7709417889257,-185,18.878,6.155
Aruba,ABW,"Population, total",SP.POP.TOTL,1990,62753,FALSE,Latin America & Caribbean,High income,67.3901572175749,879,18.167,6.677
Aruba,ABW,"Population, total",SP.POP.TOTL,1991,65896,FALSE,Latin America & Caribbean,High income,66.5614715296876,1949,17.545,6.506
Aruba,ABW,"Population, total",SP.POP.TOTL,1992,69005,FALSE,Latin America & Caribbean,High income,66.2097904128584,1294,18.723,6.144
Aruba,ABW,"Population, total",SP.POP.TOTL,1993,73685,FALSE,Latin America & Caribbean,High income,66.4795311763506,1660,18.145,5.456
Aruba,ABW,"Population, total",SP.POP.TOTL,1994,77595,FALSE,Latin America & Caribbean,High income,66.7592365705573,1664,16.947,5.554
Aruba,ABW,"Population, total",SP.POP.TOTL,1995,79805,FALSE,Latin America & Caribbean,High income,67.3628125082326,1782,17.781,6.315
Aruba,ABW,"Population, total",SP.POP.TOTL,1996,83021,FALSE,Latin America & Caribbean,High income,68.1793277439413,1813,17.49,5.649
Aruba,ABW,"Population, total",SP.POP.TOTL,1997,86301,FALSE,Latin America & Caribbean,High income,68.7965822714579,1867,16.883,5.759
Aruba,ABW,"Population, total",SP.POP.TOTL,1998,88451,FALSE,Latin America & Caribbean,High income,69.2546880408704,1958,14.867,5.709
Aruba,ABW,"Population, total",SP.POP.TOTL,1999,89659,FALSE,Latin America & Caribbean,High income,69.6044361437005,2010,13.953,6.257
Aruba,ABW,"Population, total",SP.POP.TOTL,2000,90588,FALSE,Latin America & Caribbean,High income,69.7746207533672,1226,14.26,5.85
Aruba,ABW,"Population, total",SP.POP.TOTL,2001,91439,FALSE,Latin America & Caribbean,High income,69.8178395437683,566,13.813,4.757
Aruba,ABW,"Population, total",SP.POP.TOTL,2002,92074,FALSE,Latin America & Caribbean,High income,69.8922613087324,349,13.337,5.344
Aruba,ABW,"Population, total",SP.POP.TOTL,2003,93128,FALSE,Latin America & Caribbean,High income,69.9913335499946,329,13.358,5.38
Aruba,ABW,"Population, total",SP.POP.TOTL,2004,95138,FALSE,Latin America & Caribbean,High income,70.0812659246346,326,12.54,5.277
Aruba,ABW,"Population, total",SP.POP.TOTL,2005,97635,FALSE,Latin America & Caribbean,High income,70.1082457815982,594,12.936,4.937
Aruba,ABW,"Population, total",SP.POP.TOTL,2006,99405,FALSE,Latin America & Caribbean,High income,70.0432423932699,634,13.681,5.422
Aruba,ABW,"Population, total",SP.POP.TOTL,2007,100150,FALSE,Latin America & Caribbean,High income,69.9343596964395,672,13.38,5.322
Aruba,ABW,"Population, total",SP.POP.TOTL,2008,100917,FALSE,Latin America & Caribbean,High income,69.8030254231656,703,13.07,5.49
Aruba,ABW,"Population, total",SP.POP.TOTL,2009,101604,FALSE,Latin America & Caribbean,High income,69.6689236610772,743,12.332,6.191
Aruba,ABW,"Population, total",SP.POP.TOTL,2010,101838,FALSE,Latin America & Caribbean,High income,69.7093798538659,501,11.941,6.078
Aruba,ABW,"Population, total",SP.POP.TOTL,2011,102591,FALSE,Latin America & Caribbean,High income,69.9067151246274,333,12.175,6.258
Aruba,ABW,"Population, total",SP.POP.TOTL,2012,104110,FALSE,Latin America & Caribbean,High income,69.9961184511146,317,12.592,5.85
Aruba,ABW,"Population, total",SP.POP.TOTL,2013,105675,FALSE,Latin America & Caribbean,High income,69.911025522268,315,12.548,5.422
Aruba,ABW,"Population, total",SP.POP.TOTL,2014,106807,FALSE,Latin America & Caribbean,High income,69.6785895668577,333,12.864,6.114
Aruba,ABW,"Population, total",SP.POP.TOTL,2015,107906,FALSE,Latin America & Caribbean,High income,69.3250915443276,373,11.556,6.367
Aruba,ABW,"Population, total",SP.POP.TOTL,2016,108727,FALSE,Latin America & Caribbean,High income,68.8920853714879,405,11.625,7.257
Aruba,ABW,"Population, total",SP.POP.TOTL,2017,108735,FALSE,Latin America & Caribbean,High income,68.4348414128373,434,11.477,6.594
Aruba,ABW,"Population, total",SP.POP.TOTL,2018,108908,FALSE,Latin America & Caribbean,High income,67.9734478352375,431,10.807,6.703
Aruba,ABW,"Population, total",SP.POP.TOTL,2019,109203,TRUE,Latin America & Caribbean,High income,67.5216668534499,420,10.842,6.145
Aruba,ABW,"Population, total",SP.POP.TOTL,2020,108587,TRUE,Latin America & Caribbean,High income,67.1686817100479,0,9.688,6.842
Aruba,ABW,"Population, total",SP.POP.TOTL,2021,107700,TRUE,Latin America & Caribbean,High income,66.9699139069153,503,9.461,8.951
Aruba,ABW,"Population, total",SP.POP.TOTL,2022,107310,TRUE,Latin America & Caribbean,High income,66.7551168098569,152,8.527,8.191
Aruba,ABW,"Population, total",SP.POP.TOTL,2023,107359,TRUE,Latin America & Caribbean,High income,66.4457075093688,147,7.973,7.582
Aruba,ABW,"Population, total",SP.POP.TOTL,2024,107624,TRUE,Latin America & Caribbean,High income,66.098801190019,141,NA,NA
Afghanistan,AFG,"Population, total",SP.POP.TOTL,1960,9035043,FALSE,South Asia,Low income,55.2298835085852,2606,50.516,31.672
Afghanistan,AFG,"Population, total",SP.POP.TOTL,1961,9214083,FALSE,South Asia,Low income,55.1620546504736,6109,50.566,31.129
Afghanistan,AFG,"Population, total",SP.POP.TOTL,1962,9404406,FALSE,South Asia,Low income,55.0943515199152,7016,50.666,30.63
Afghanistan,AFG,"Population, total",SP.POP.TOTL,1963,9604487,FALSE,South Asia,Low income,54.9889910830219,6681,50.787,30.168
Afghanistan,AFG,"Population, total",SP.POP.TOTL,1964,9814318,FALSE,South Asia,Low income,54.8326689638547,7079,50.852,29.672
Afghanistan,AFG,"Population, total",SP.POP.TOTL,1965,10036008,FALSE,South Asia,Low income,54.616090649983,10695,50.889,29.193
Afghanistan,AFG,"Population, total",SP.POP.TOTL,1966,10266395,FALSE,South Asia,Low income,54.3629579808686,3563,51.018,28.733
Afghanistan,AFG,"Population, total",SP.POP.TOTL,1967,10505959,FALSE,South Asia,Low income,54.1143364446787,6824,51.106,28.265
Afghanistan,AFG,"Population, total",SP.POP.TOTL,1968,10756922,FALSE,South Asia,Low income,53.8705242015571,3333,51.209,27.801
Afghanistan,AFG,"Population, total",SP.POP.TOTL,1969,11017409,FALSE,South Asia,Low income,53.6316796444609,2029,51.28,27.334
Afghanistan,AFG,"Population, total",SP.POP.TOTL,1970,11290128,FALSE,South Asia,Low income,53.4023508591909,4458,51.207,26.838
Afghanistan,AFG,"Population, total",SP.POP.TOTL,1971,11567667,FALSE,South Asia,Low income,53.1840321309374,-12801,51.303,26.383
Afghanistan,AFG,"Population, total",SP.POP.TOTL,1972,11853696,FALSE,South Asia,Low income,52.9729335052966,-4050,51.244,25.882
Afghanistan,AFG,"Population, total",SP.POP.TOTL,1973,12157999,FALSE,South Asia,Low income,52.7674598111309,-3030,51.278,25.364
Afghanistan,AFG,"Population, total",SP.POP.TOTL,1974,12469127,FALSE,South Asia,Low income,52.5641391159196,-20009,51.373,24.889
Afghanistan,AFG,"Population, total",SP.POP.TOTL,1975,12773954,FALSE,South Asia,Low income,52.3650116479204,-44418,51.321,24.403
Afghanistan,AFG,"Population, total",SP.POP.TOTL,1976,13059851,FALSE,South Asia,Low income,52.1718241655284,-85430,51.329,23.934
Afghanistan,AFG,"Population, total",SP.POP.TOTL,1977,13340756,FALSE,South Asia,Low income,51.9817860403943,-83115,51.331,23.404
Afghanistan,AFG,"Population, total",SP.POP.TOTL,1978,13611441,FALSE,South Asia,Low income,51.7959781040082,-117186,51.288,24.171
Afghanistan,AFG,"Population, total",SP.POP.TOTL,1979,13655567,FALSE,South Asia,Low income,51.6136678909049,-525413,52.029,25.538
Afghanistan,AFG,"Population, total",SP.POP.TOTL,1980,13169311,FALSE,South Asia,Low income,51.4266330475971,-1174239,53.452,25.706
Afghanistan,AFG,"Population, total",SP.POP.TOTL,1981,11937581,FALSE,South Asia,Low income,51.2400753553002,-1998086,55.185,26.413
Afghanistan,AFG,"Population, total",SP.POP.TOTL,1982,10991378,FALSE,South Asia,Low income,51.0681008332167,-500998,51.973,28.026
Afghanistan,AFG,"Population, total",SP.POP.TOTL,1983,10917982,FALSE,South Asia,Low income,50.928972038972,-172797,51.173,27.013
Afghanistan,AFG,"Population, total",SP.POP.TOTL,1984,11190221,FALSE,South Asia,Low income,50.8047092722874,248224,50.351,32.008
Afghanistan,AFG,"Population, total",SP.POP.TOTL,1985,11426852,FALSE,South Asia,Low income,50.6836528555721,-208685,51.693,31.699
Afghanistan,AFG,"Population, total",SP.POP.TOTL,1986,11420074,FALSE,South Asia,Low income,50.5628050467451,-343397,52.195,25.044
Afghanistan,AFG,"Population, total",SP.POP.TOTL,1987,11387818,FALSE,South Asia,Low income,50.4483057927205,-345535,52.222,24.617
Afghanistan,AFG,"Population, total",SP.POP.TOTL,1988,11523298,FALSE,South Asia,Low income,50.334630762825,-56263,51.708,20.606
Afghanistan,AFG,"Population, total",SP.POP.TOTL,1989,11874088,FALSE,South Asia,Low income,50.2181683342754,18296,51.682,19.582
Afghanistan,AFG,"Population, total",SP.POP.TOTL,1990,12045660,FALSE,South Asia,Low income,50.0840136613519,-458737,52.888,19.479
Afghanistan,AFG,"Population, total",SP.POP.TOTL,1991,12238879,FALSE,South Asia,Low income,49.9166876312773,32782,52.279,18.783
Afghanistan,AFG,"Population, total",SP.POP.TOTL,1992,13278974,FALSE,South Asia,Low income,49.718846867192,1197329,50.315,17.17
Afghanistan,AFG,"Population, total",SP.POP.TOTL,1993,14943172,FALSE,South Asia,Low income,49.5057508539686,1149684,50.834,14.613
Afghanistan,AFG,"Population, total",SP.POP.TOTL,1994,16250794,FALSE,South Asia,Low income,49.2618899340583,315206,52.41,14.929
Afghanistan,AFG,"Population, total",SP.POP.TOTL,1995,17065836,FALSE,South Asia,Low income,48.997366697927,52505,52.683,14.403
Afghanistan,AFG,"Population, total",SP.POP.TOTL,1996,17763266,FALSE,South Asia,Low income,48.7272526347351,4072,52.491,13.928
Afghanistan,AFG,"Population, total",SP.POP.TOTL,1997,18452091,FALSE,South Asia,Low income,48.4467031826717,-21215,52.117,13.651
Afghanistan,AFG,"Population, total",SP.POP.TOTL,1998,19159996,FALSE,South Asia,Low income,48.1710394973736,7380,51.457,13.886
Afghanistan,AFG,"Population, total",SP.POP.TOTL,1999,19887785,FALSE,South Asia,Low income,47.9188745232029,-32400,50.948,12.697
Afghanistan,AFG,"Population, total",SP.POP.TOTL,2000,20130327,FALSE,South Asia,Low income,47.713099742493,-1025973,51.491,12.608
Afghanistan,AFG,"Population, total",SP.POP.TOTL,2001,20284307,FALSE,South Asia,Low income,47.5693623647088,-212872,49.623,11.954
Afghanistan,AFG,"Population, total",SP.POP.TOTL,2002,21378117,FALSE,South Asia,Low income,47.498128576993,860349,47.488,11.187
Afghanistan,AFG,"Population, total",SP.POP.TOTL,2003,22733049,FALSE,South Asia,Low income,47.4929561802291,247317,47.056,10.714
Afghanistan,AFG,"Population, total",SP.POP.TOTL,2004,23560654,FALSE,South Asia,Low income,47.5544385897446,-269194,46.492,10.375
Afghanistan,AFG,"Population, total",SP.POP.TOTL,2005,24404567,FALSE,South Asia,Low income,47.6806841112977,250971,44.952,9.913
Afghanistan,AFG,"Population, total",SP.POP.TOTL,2006,25424094,FALSE,South Asia,Low income,47.872283121037,57673,44.087,9.659
Afghanistan,AFG,"Population, total",SP.POP.TOTL,2007,25909852,FALSE,South Asia,Low income,48.1377315470579,-851298,43.831,9.487
Afghanistan,AFG,"Population, total",SP.POP.TOTL,2008,26482622,FALSE,South Asia,Low income,48.4650217036667,215753,42.538,8.884
Afghanistan,AFG,"Population, total",SP.POP.TOTL,2009,27466101,FALSE,South Asia,Low income,48.8282510289366,-60602,42.162,8.645
Afghanistan,AFG,"Population, total",SP.POP.TOTL,2010,28284089,FALSE,South Asia,Low income,49.2260551369721,-167460,41.759,8.402
Afghanistan,AFG,"Population, total",SP.POP.TOTL,2011,29347708,FALSE,South Asia,Low income,49.6380620251503,384486,40.973,8.032
Afghanistan,AFG,"Population, total",SP.POP.TOTL,2012,30560034,FALSE,South Asia,Low income,50.0567833137882,68628,40.702,7.822
Afghanistan,AFG,"Population, total",SP.POP.TOTL,2013,31622704,FALSE,South Asia,Low income,50.4888449766978,18119,40.288,7.597
Afghanistan,AFG,"Population, total",SP.POP.TOTL,2014,32792523,FALSE,South Asia,Low income,50.9303980666568,233913,39.646,7.511
Afghanistan,AFG,"Population, total",SP.POP.TOTL,2015,33831764,FALSE,South Asia,Low income,51.3839679093288,-286314,39.364,7.528
Afghanistan,AFG,"Population, total",SP.POP.TOTL,2016,34700612,FALSE,South Asia,Low income,51.843053949596,-143049,38.732,7.32
Afghanistan,AFG,"Population, total",SP.POP.TOTL,2017,35688935,FALSE,South Asia,Low income,52.2756584397329,-71491,38.171,7.315
Afghanistan,AFG,"Population, total",SP.POP.TOTL,2018,36743039,FALSE,South Asia,Low income,52.6732723441847,-36753,37.624,7.271
Afghanistan,AFG,"Population, total",SP.POP.TOTL,2019,37856121,TRUE,South Asia,Low income,53.0470145105464,9159,37.138,7.064
Afghanistan,AFG,"Population, total",SP.POP.TOTL,2020,39068979,TRUE,South Asia,Low income,53.4051619316696,143634,36.601,7.565
Afghanistan,AFG,"Population, total",SP.POP.TOTL,2021,40000412,TRUE,South Asia,Low income,53.7393252349501,-548784,36.342,8.002
Afghanistan,AFG,"Population, total",SP.POP.TOTL,2022,40578842,TRUE,South Asia,Low income,54.0650161973572,-647402,36.045,5.993
Afghanistan,AFG,"Population, total",SP.POP.TOTL,2023,41454761,TRUE,South Asia,Low income,54.3962586106817,-48958,35.437,5.797
Afghanistan,AFG,"Population, total",SP.POP.TOTL,2024,42647492,TRUE,South Asia,Low income,54.7115244197713,-44089,NA,NA
Angola,AGO,"Population, total",SP.POP.TOTL,1960,5231654,FALSE,Sub-Saharan Africa,Lower middle income,55.5745659021029,-40935,51.615,27.055
Angola,AGO,"Population, total",SP.POP.TOTL,1961,5301583,FALSE,Sub-Saharan Africa,Lower middle income,55.1971877836122,-74774,52.046,28.075
Angola,AGO,"Population, total",SP.POP.TOTL,1962,5354310,FALSE,Sub-Saharan Africa,Lower middle income,54.7869057625451,-77265,52.226,27.871
Angola,AGO,"Population, total",SP.POP.TOTL,1963,5408320,FALSE,Sub-Saharan Africa,Lower middle income,54.3252803088575,-78700,52.347,27.648
Angola,AGO,"Population, total",SP.POP.TOTL,1964,5464187,FALSE,Sub-Saharan Africa,Lower middle income,53.7806081673266,-79977,52.41,27.37
Angola,AGO,"Population, total",SP.POP.TOTL,1965,5521981,FALSE,Sub-Saharan Africa,Lower middle income,53.2260071159245,-81111,52.413,27.087
Angola,AGO,"Population, total",SP.POP.TOTL,1966,5581386,FALSE,Sub-Saharan Africa,Lower middle income,52.7194183739112,-82767,52.354,26.761
Angola,AGO,"Population, total",SP.POP.TOTL,1967,5641807,FALSE,Sub-Saharan Africa,Lower middle income,52.2652139642494,-85173,52.229,26.362
Angola,AGO,"Population, total",SP.POP.TOTL,1968,5702699,FALSE,Sub-Saharan Africa,Lower middle income,51.8746867163525,-87730,52.034,25.951
Angola,AGO,"Population, total",SP.POP.TOTL,1969,5763685,FALSE,Sub-Saharan Africa,Lower middle income,51.5451226081925,-90395,51.777,25.518
Angola,AGO,"Population, total",SP.POP.TOTL,1970,5852788,FALSE,Sub-Saharan Africa,Lower middle income,51.1759694695929,-36456,51.218,24.956
Angola,AGO,"Population, total",SP.POP.TOTL,1971,5991102,FALSE,Sub-Saharan Africa,Lower middle income,50.914347644223,4386,50.188,24.318
Angola,AGO,"Population, total",SP.POP.TOTL,1972,6174262,FALSE,Sub-Saharan Africa,Lower middle income,50.9815139864883,47611,49.487,23.68
Angola,AGO,"Population, total",SP.POP.TOTL,1973,6388528,FALSE,Sub-Saharan Africa,Lower middle income,51.2305651630548,54650,49.292,23.163
Angola,AGO,"Population, total",SP.POP.TOTL,1974,6613367,FALSE,Sub-Saharan Africa,Lower middle income,51.5039540373308,53232,49.17,22.73
Angola,AGO,"Population, total",SP.POP.TOTL,1975,6842947,FALSE,Sub-Saharan Africa,Lower middle income,51.7697164518238,52662,49.045,22.973
Angola,AGO,"Population, total",SP.POP.TOTL,1976,7074664,FALSE,Sub-Saharan Africa,Lower middle income,52.0186929005609,47927,48.968,22.899
Angola,AGO,"Population, total",SP.POP.TOTL,1977,7317829,FALSE,Sub-Saharan Africa,Lower middle income,52.2781174390576,61110,48.845,22.492
Angola,AGO,"Population, total",SP.POP.TOTL,1978,7576734,FALSE,Sub-Saharan Africa,Lower middle income,52.5402668577428,61200,48.914,22.167
Angola,AGO,"Population, total",SP.POP.TOTL,1979,7847207,FALSE,Sub-Saharan Africa,Lower middle income,52.7686920964363,64158,49.014,21.878
Angola,AGO,"Population, total",SP.POP.TOTL,1980,8133872,FALSE,Sub-Saharan Africa,Lower middle income,52.9738698232447,72192,49.154,21.611
Angola,AGO,"Population, total",SP.POP.TOTL,1981,8435607,FALSE,Sub-Saharan Africa,Lower middle income,53.1404260535134,70910,49.404,21.387
Angola,AGO,"Population, total",SP.POP.TOTL,1982,8751648,FALSE,Sub-Saharan Africa,Lower middle income,53.2641364652614,75921,49.622,21.178
Angola,AGO,"Population, total",SP.POP.TOTL,1983,9082983,FALSE,Sub-Saharan Africa,Lower middle income,53.3675474988529,82958,49.94,21.881
Angola,AGO,"Population, total",SP.POP.TOTL,1984,9425917,FALSE,Sub-Saharan Africa,Lower middle income,53.4302894121448,78529,50.308,21.716
Angola,AGO,"Population, total",SP.POP.TOTL,1985,9779120,FALSE,Sub-Saharan Africa,Lower middle income,53.4172325023741,74738,50.576,21.572
Angola,AGO,"Population, total",SP.POP.TOTL,1986,10139450,FALSE,Sub-Saharan Africa,Lower middle income,53.311227596725,64974,50.75,21.427
Angola,AGO,"Population, total",SP.POP.TOTL,1987,10497858,FALSE,Sub-Saharan Africa,Lower middle income,53.136456653179,62820,50.778,22.993
Angola,AGO,"Population, total",SP.POP.TOTL,1988,10861291,FALSE,Sub-Saharan Africa,Lower middle income,52.9439133893015,65028,50.716,22.42
Angola,AGO,"Population, total",SP.POP.TOTL,1989,11238562,FALSE,Sub-Saharan Africa,Lower middle income,52.7507211331841,63586,50.566,22.217
Angola,AGO,"Population, total",SP.POP.TOTL,1990,11626360,FALSE,Sub-Saharan Africa,Lower middle income,52.5605113105267,64821,50.318,22.055
Angola,AGO,"Population, total",SP.POP.TOTL,1991,12023529,FALSE,Sub-Saharan Africa,Lower middle income,52.3533461911784,46143,50.042,20.535
Angola,AGO,"Population, total",SP.POP.TOTL,1992,12423712,FALSE,Sub-Saharan Africa,Lower middle income,52.152800541706,53310,49.53,21.67
Angola,AGO,"Population, total",SP.POP.TOTL,1993,12827135,FALSE,Sub-Saharan Africa,Lower middle income,51.9638817227651,52879,49.087,21.448
Angola,AGO,"Population, total",SP.POP.TOTL,1994,13249764,FALSE,Sub-Saharan Africa,Lower middle income,51.7868034560161,61569,48.733,20.334
Angola,AGO,"Population, total",SP.POP.TOTL,1995,13699778,FALSE,Sub-Saharan Africa,Lower middle income,51.6733117865122,55568,48.38,18.7
Angola,AGO,"Population, total",SP.POP.TOTL,1996,14170973,FALSE,Sub-Saharan Africa,Lower middle income,51.6185338861347,61681,47.979,18.445
Angola,AGO,"Population, total",SP.POP.TOTL,1997,14660413,FALSE,Sub-Saharan Africa,Lower middle income,51.6048371763073,67944,47.564,18.184
Angola,AGO,"Population, total",SP.POP.TOTL,1998,15159370,FALSE,Sub-Saharan Africa,Lower middle income,51.6246849308381,70527,47.206,18.925
Angola,AGO,"Population, total",SP.POP.TOTL,1999,15667235,FALSE,Sub-Saharan Africa,Lower middle income,51.6564490050877,70301,46.997,18.518
Angola,AGO,"Population, total",SP.POP.TOTL,2000,16194869,FALSE,Sub-Saharan Africa,Lower middle income,51.7076319576167,72793,46.853,18.08
Angola,AGO,"Population, total",SP.POP.TOTL,2001,16747208,FALSE,Sub-Saharan Africa,Lower middle income,51.7752168533172,77458,46.771,17.606
Angola,AGO,"Population, total",SP.POP.TOTL,2002,17327699,FALSE,Sub-Saharan Africa,Lower middle income,51.8486657735495,82292,46.666,17.071
Angola,AGO,"Population, total",SP.POP.TOTL,2003,17943712,FALSE,Sub-Saharan Africa,Lower middle income,51.9264269288317,80828,46.551,15.559
Angola,AGO,"Population, total",SP.POP.TOTL,2004,18600423,FALSE,Sub-Saharan Africa,Lower middle income,52.0010593307475,90553,46.46,14.958
Angola,AGO,"Population, total",SP.POP.TOTL,2005,19291161,FALSE,Sub-Saharan Africa,Lower middle income,52.0638895726361,87050,46.342,14.31
Angola,AGO,"Population, total",SP.POP.TOTL,2006,20015279,FALSE,Sub-Saharan Africa,Lower middle income,52.1113870058968,95431,46.123,13.757
Angola,AGO,"Population, total",SP.POP.TOTL,2007,20778561,FALSE,Sub-Saharan Africa,Lower middle income,52.1442449228259,100563,45.838,12.98
Angola,AGO,"Population, total",SP.POP.TOTL,2008,21578655,FALSE,Sub-Saharan Africa,Lower middle income,52.1529400233703,100370,45.507,12.302
Angola,AGO,"Population, total",SP.POP.TOTL,2009,22414773,FALSE,Sub-Saharan Africa,Lower middle income,52.1421151099296,105077,45.175,11.702
Angola,AGO,"Population, total",SP.POP.TOTL,2010,23294825,FALSE,Sub-Saharan Africa,Lower middle income,52.1299279990298,122418,44.661,11.078
Angola,AGO,"Population, total",SP.POP.TOTL,2011,24218352,FALSE,Sub-Saharan Africa,Lower middle income,52.1221809832928,128800,44.136,10.546
Angola,AGO,"Population, total",SP.POP.TOTL,2012,25177394,FALSE,Sub-Saharan Africa,Lower middle income,52.110643381122,130643,43.61,10.043
Angola,AGO,"Population, total",SP.POP.TOTL,2013,26165620,FALSE,Sub-Saharan Africa,Lower middle income,52.0969806945144,124478,43.065,9.578
Angola,AGO,"Population, total",SP.POP.TOTL,2014,27160769,FALSE,Sub-Saharan Africa,Lower middle income,52.0696201188262,84535,42.503,9.179
Angola,AGO,"Population, total",SP.POP.TOTL,2015,28157798,FALSE,Sub-Saharan Africa,Lower middle income,52.0344151201028,74171,41.847,8.809
Angola,AGO,"Population, total",SP.POP.TOTL,2016,29183070,FALSE,Sub-Saharan Africa,Lower middle income,52.0323838444687,91614,41.183,8.476
Angola,AGO,"Population, total",SP.POP.TOTL,2017,30234839,FALSE,Sub-Saharan Africa,Lower middle income,52.0639319428822,77731,40.595,8.192
Angola,AGO,"Population, total",SP.POP.TOTL,2018,31297155,FALSE,Sub-Saharan Africa,Lower middle income,52.10972051613,61632,40.057,7.928
Angola,AGO,"Population, total",SP.POP.TOTL,2019,32375632,TRUE,Sub-Saharan Africa,Lower middle income,52.1792554940819,58984,39.539,7.701
Angola,AGO,"Population, total",SP.POP.TOTL,2020,33451132,TRUE,Sub-Saharan Africa,Lower middle income,52.2548406993395,7556,39.127,7.628
Angola,AGO,"Population, total",SP.POP.TOTL,2021,34532429,TRUE,Sub-Saharan Africa,Lower middle income,52.3460455098597,29094,38.67,7.619
Angola,AGO,"Population, total",SP.POP.TOTL,2022,35635029,TRUE,Sub-Saharan Africa,Lower middle income,52.4687842964853,-995,38.102,7.097
Angola,AGO,"Population, total",SP.POP.TOTL,2023,36749906,TRUE,Sub-Saharan Africa,Lower middle income,52.6162856035605,-995,37.588,6.925
